Country,Country_Code,Region,Sub-region,Population
Ivory Coast,CIV,Africa,Western Africa,31719275
Italy,ITA,Europe,Southern Europe,58927633
Kyrgyzstan,KGZ,Asia,Central Asia,7281800
Papua New Guinea,PNG,Oceania,Melanesia,11781559
Fiji,FJI,Oceania,Melanesia,900869
United Arab Emirates,ARE,Asia,Western Asia,11294243
Saint Kitts and Nevis,KNA,Americas,Caribbean,51320
French Guiana,GUF,Americas,South America,292354
Tanzania,TZA,Africa,Eastern Africa,68153004
Angola,AGO,Africa,Middle Africa,36170961
Togo,TGO,Africa,Western Africa,8095498
Finland,FIN,Europe,Northern Europe,5650325
Malawi,MWI,Africa,Eastern Africa,20734262
Mali,MLI,Africa,Western Africa,22395489
Uzbekistan,UZB,Asia,Central Asia,37859698
Senegal,SEN,Africa,Western Africa,18593258
Uganda,UGA,Africa,Eastern Africa,45905417
Djibouti,DJI,Africa,Eastern Africa,1066809
South Sudan,SSD,Africa,Middle Africa,15786898
Jersey,JEY,Europe,Northern Europe,103267
Tuvalu,TUV,Oceania,Polynesia,10643
Japan,JPN,Asia,Eastern Asia,123210000
Oman,OMN,Asia,Western Asia,5343630
Belgium,BEL,Europe,Western Europe,11825551
Saint Martin,MAF,Americas,Caribbean,31496
Mayotte,MYT,Africa,Eastern Africa,320901
France,FRA,Europe,Western Europe,66351959
Bulgaria,BGR,Europe,Southeast Europe,6437360
Cyprus,CYP,Europe,Southern Europe,1442614
South Korea,KOR,Asia,Eastern Asia,51159889
Mexico,MEX,Americas,North America,130575786
North Macedonia,MKD,Europe,Southeast Europe,1822612
Guyana,GUY,Americas,South America,772975
Kosovo,UNK,Europe,Southeast Europe,1585566
Morocco,MAR,Africa,Northern Africa,36828330
Gibraltar,GIB,Europe,Southern Europe,38000
Western Sahara,ESH,Africa,Northern Africa,600904
Andorra,AND,Europe,Southern Europe,88406
Palau,PLW,Oceania,Micronesia,16733
Guinea,GIN,Africa,Western Africa,14363931
Turks and Caicos Islands,TCA,Americas,Caribbean,50828
Saudi Arabia,SAU,Asia,Western Asia,35300280
Botswana,BWA,Africa,Southern Africa,2359609
Comoros,COM,Africa,Eastern Africa,919901
Belize,BLZ,Americas,Central America,417634
Cambodia,KHM,Asia,South-Eastern Asia,17577760
Saint Lucia,LCA,Americas,Caribbean,184100
Mauritania,MRT,Africa,Western Africa,4927532
Jamaica,JAM,Americas,Caribbean,2825544
Cape Verde,CPV,Africa,Western Africa,491233
Marshall Islands,MHL,Oceania,Micronesia,42418
Namibia,NAM,Africa,Southern Africa,3022401
Iran,IRN,Asia,Southern Asia,85961000
Wallis and Futuna,WLF,Oceania,Polynesia,11620
Azerbaijan,AZE,Asia,Western Asia,10241722
Niger,NER,Africa,Western Africa,26312034
Heard Island and McDonald Islands,HMD,Antarctic,,0
Laos,LAO,Asia,South-Eastern Asia,7647000
Burkina Faso,BFA,Africa,Western Africa,24070553
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,593
Luxembourg,LUX,Europe,Western Europe,681973
Indonesia,IDN,Asia,South-Eastern Asia,284438782
Lebanon,LBN,Asia,Western Asia,5490000
Turkey,TUR,Asia,Western Asia,85664944
