country,work_hours,happiness_score,Country,Country_Code,Region,Sub-region,Population
Albania,2094.1977777777774,5.662,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.411,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.304,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.277,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.199,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.117,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,4.883,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,4.719,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,4.586,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,4.644,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,4.655,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,4.959,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.55,Albania,ALB,Europe,Southeast Europe,2363314.0
Albania,2094.1977777777774,5.134,Albania,ALB,Europe,Southeast Europe,2363314.0
Algeria,2228.133333333333,5.714,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.571,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.364,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.329,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.122,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,4.887,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.005,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.211,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.295,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.872,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,6.355,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.605,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.422,Algeria,DZA,Africa,Northern Africa,47400000.0
Algeria,2228.133333333333,5.368,Algeria,DZA,Africa,Northern Africa,47400000.0
Angola,2090.5733333333333,3.795,Angola,AGO,Africa,Middle Africa,36170961.0
Angola,2090.5733333333333,3.795,Angola,AGO,Africa,Middle Africa,36170961.0
Angola,2090.5733333333333,3.866,Angola,AGO,Africa,Middle Africa,36170961.0
Angola,2090.5733333333333,4.033,Angola,AGO,Africa,Middle Africa,36170961.0
Angola,2090.5733333333333,5.589,Angola,AGO,Africa,Middle Africa,36170961.0
Angola,2090.5733333333333,4.178,Angola,AGO,Africa,Middle Africa,36170961.0
Argentina,1614.5233333333333,6.43,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.397,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.188,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.024,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,5.967,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,5.929,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,5.975,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.086,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.388,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.599,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.65,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.574,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.562,Argentina,ARG,Americas,South America,46735004.0
Argentina,1614.5233333333333,6.242,Argentina,ARG,Americas,South America,46735004.0
Armenia,1928.7266666666667,5.584,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,5.494,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,5.455,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,5.342,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,5.399,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,5.283,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.677,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.559,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.321,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.376,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.36,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.35,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.316,Armenia,ARM,Asia,Western Asia,3076200.0
Armenia,1928.7266666666667,4.474,Armenia,ARM,Asia,Western Asia,3076200.0
Australia,1622.118888888889,6.916,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,6.974,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.057,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.095,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.162,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.183,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.223,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.228,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.272,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.284,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
Australia,1622.118888888889,7.313,Australia,AUS,Oceania,Australia and New Zealand,27536874.0
